Name,Location,Location_name,Year,Kilometers_Driven,Fuel_Type,Fuel_Type_name,Transmission,Transmission_name,Owner_Type,Owner_Type_name,Mileage,Engine,Power,Seats,Price
Mercedes-Benz New C-Class C 220 CDI Elegance AT,9,Bangalore,2007,39037,2,Diesel,1,Automatic,1,First,14.84,2143,170,5,9.25
Honda Brio S MT,1,Mumbai,2013,17003,3,Petrol,2,Manual,1,First,19.4,1198,86.8,5,3.15
Hyundai i10 Magna Optional 1.1L,5,Hyderabad,2008,80400,3,Petrol,2,Manual,1,First,16,1086,66.7,5,2.3
Hyundai Verna 1.6 SX Di (O),6,Jaipur,2012,75200,2,Diesel,2,Manual,1,First,22.32,1582,126.32,5,5.25
Maruti Ciaz VDI SHVS,7,Kochi,2017,41217,2,Diesel,2,Manual,1,First,28.09,1248,88.5,5,7.4
Ford Ikon 1.3 Flair,2,Pune,2006,98293,3,Petrol,2,Manual,2,Second,13.8,1299,70,5,1.55
Volkswagen Polo 1.2 MPI Highline,2,Pune,2017,54000,3,Petrol,2,Manual,2,Second,16.2,1199,74,5,6
Honda Jazz 1.2 V i VTEC,3,Chennai,2016,17377,3,Petrol,2,Manual,1,First,18.7,1199,88.7,5,5.9
Honda Amaze EX i-Dtech,9,Bangalore,2013,33800,2,Diesel,2,Manual,2,Second,25.8,1498,98.6,5,4.7
Hyundai i20 Asta 1.4 Di,5,Hyderabad,2015,86157,2,Diesel,2,Manual,1,First,22.54,1396,88.73,5,6.5
Maruti Ritz VDi,5,Hyderabad,2012,146824,2,Diesel,2,Manual,1,First,21.1,1248,73.9,5,3.55
Honda City V MT,3,Chennai,2014,55000,3,Petrol,2,Manual,1,First,16.8,1497,116.3,5,7.1
Skoda Superb 1.8 TSI MT,5,Hyderabad,2010,53293,3,Petrol,2,Manual,1,First,13.14,1798,160,5,6
Maruti Vitara Brezza LDi Option,2,Pune,2017,38000,2,Diesel,2,Manual,1,First,24.3,1248,88.5,5,7.99
Hyundai i20 Asta,9,Bangalore,2009,64000,3,Petrol,2,Manual,2,Second,17,1197,80,5,4.1
Maruti Alto K10 VXI AGS,5,Hyderabad,2017,25058,3,Petrol,1,Automatic,1,First,24.07,998,67.1,5,3.95
Hyundai EON Era Plus,7,Kochi,2016,36700,3,Petrol,2,Manual,1,First,21.1,814,55.2,5,4.38
Hyundai i10 Sportz,1,Mumbai,2011,35000,3,Petrol,2,Manual,1,First,20.36,1197,78.9,5,2.75
Mercedes-Benz SLK-Class SLK 350,4,Coimbatore,2016,22732,3,Petrol,1,Automatic,1,First,18.1,3498,306,2,55.54
Audi A6 2.0 TDI Design Edition,5,Hyderabad,2014,48000,2,Diesel,1,Automatic,1,First,18.53,1968,187.74,5,29
Ford EcoSport 1.5 TDCi Titanium,9,Bangalore,2013,62084,2,Diesel,2,Manual,1,First,22.77,1498,98.59,5,6.6
Volkswagen Passat Highline DSG,11,Kolkata,2012,39273,2,Diesel,1,Automatic,1,First,14.3,1968,140,5,6.99
Toyota Innova ysta 2.4 ZX MT,9,Bangalore,2017,64798,2,Diesel,2,Manual,1,First,13.68,2393,147.8,7,18.75
Ford Figo Diesel ZXI,6,Jaipur,2010,100002,2,Diesel,2,Manual,3,Third,20,1399,68,5,1.28
Chevrolet Aveo 1.4,2,Pune,2006,78000,3,Petrol,2,Manual,3,Third,14.49,1399,92.7,5,1.2
Maruti Ritz LXi,4,Coimbatore,2013,57717,3,Petrol,2,Manual,1,First,18.5,1197,85.8,5,4.31
Land Rover Freelander 2 SE,3,Chennai,2011,109000,2,Diesel,1,Automatic,1,First,12.39,2179,147.51,5,16.5
Hyundai Grand i10 Asta,4,Coimbatore,2017,74515,3,Petrol,2,Manual,1,First,18.9,1197,82,5,5.64
Ford Endeavour 3.2 Trend AT 4X4,4,Coimbatore,2017,50484,2,Diesel,1,Automatic,1,First,10.91,3198,197.2,7,31.12
Audi Q5 2008-2012 2.0 TDI,7,Kochi,2013,13452,2,Diesel,1,Automatic,1,First,12.8,1968,167.6,5,25.46
Hyundai Verna 1.6 VTVT,7,Kochi,2017,37688,3,Petrol,2,Manual,1,First,17.01,1591,121.3,5,7.88
Mercedes-Benz E-Class 2015-2017 E250 CDI Avantgarde,3,Chennai,2017,34000,2,Diesel,1,Automatic,1,First,13,2143,204,5,36
Mercedes-Benz M-Class ML 350 4Matic,2,Pune,2014,120000,2,Diesel,1,Automatic,1,First,0,2987,165,5,30
Maruti Swift Dzire ZXi,2,Pune,2008,64000,3,Petrol,2,Manual,2,Second,17.5,1298,85.8,5,2.85
Honda City 1.3 EXI S,8,Delhi,2011,100000,3,Petrol,2,Manual,1,First,13,1343,90,5,3.5
Renault Duster 85PS Diesel RxL Optional,6,Jaipur,2014,75000,2,Diesel,2,Manual,1,First,20.46,1461,83.8,5,7.5
Mercedes-Benz New C-Class 220 CDI AT,5,Hyderabad,2012,86000,2,Diesel,1,Automatic,1,First,14.84,2143,170,5,19
BMW X5 xDrive 30d Design Pure Experience 5 Seater,5,Hyderabad,2015,69000,2,Diesel,1,Automatic,1,First,15.97,2993,258,5,54
Hyundai Xcent 1.2 Kappa SX Option,7,Kochi,2015,41721,3,Petrol,2,Manual,1,First,19.1,1197,82,5,4.7
Maruti Dzire AMT ZXI Plus,5,Hyderabad,2017,13000,3,Petrol,1,Automatic,1,First,22,1197,81.8,5,8.5
BMW 3 Series 320d Corporate Edition,11,Kolkata,2013,38998,2,Diesel,1,Automatic,1,First,16.07,1995,181,4,17
Maruti Alto 800 LXI,7,Kochi,2017,54250,3,Petrol,2,Manual,1,First,22.74,796,47.3,5,3.51
Audi A4 2.0 TDI 177 Premium Plus,9,Bangalore,2013,45979,2,Diesel,1,Automatic,2,Second,17.11,1968,174.33,5,19.5
Mini Cooper S,2,Pune,2012,37000,3,Petrol,1,Automatic,2,Second,13.6,1598,181,4,17
Audi Q7 3.0 TDI Quattro Premium Plus,4,Coimbatore,2015,46983,2,Diesel,1,Automatic,2,Second,12.07,2967,241.4,7,43.35
Chevrolet Beat Diesel LT,9,Bangalore,2012,40700,2,Diesel,2,Manual,1,First,25.44,936,57.6,5,2.65
Maruti Wagon R LXI BS IV,7,Kochi,2015,43828,3,Petrol,2,Manual,1,First,20.51,998,67.04,5,3.52
Nissan Terrano XV Premium 110 PS,11,Kolkata,2016,53000,2,Diesel,2,Manual,1,First,19.01,1461,108.5,5,6.25
BMW 3 Series 320d Luxury Plus,10,Ahmedabad,2015,100000,2,Diesel,1,Automatic,1,First,18.88,1995,184,5,24.75
Maruti Swift Dzire VXI,1,Mumbai,2015,19000,3,Petrol,2,Manual,1,First,20.85,1197,83.14,5,5.25
Skoda Yeti Elegance 4X2,6,Jaipur,2016,84000,2,Diesel,2,Manual,1,First,17.72,1968,108.5,5,11
Ford EcoSport 1.5 Ti VCT AT Titanium,7,Kochi,2018,37630,3,Petrol,1,Automatic,1,First,15.63,1499,110.4,5,9.1
Hyundai i20 1.2 Magna,3,Chennai,2010,67714,3,Petrol,2,Manual,1,First,18.5,1197,80,5,3.25
Maruti S oss DDiS 200 Sigma Option,2,Pune,2017,32000,2,Diesel,2,Manual,1,First,15,1248,88.5,5,8.5
Hyundai Verna Transform VTVT,2,Pune,2010,51000,3,Petrol,2,Manual,1,First,16.2,1599,103.2,5,3.1
BMW 3 Series 320d Luxury Line,7,Kochi,2015,58390,2,Diesel,1,Automatic,1,First,18.88,1995,184,5,19.86
Hyundai Grand i10 1.2 Di Magna,11,Kolkata,2017,14000,2,Diesel,2,Manual,1,First,24,1186,73.97,5,4.9
Honda City i-VTEC V,8,Delhi,2014,55818,3,Petrol,2,Manual,2,Second,17.4,1497,117.3,5,5.7
Maruti Swift 1.3 VXi,3,Chennai,2006,97800,3,Petrol,2,Manual,3,Third,16.1,,,,1.75
Maruti Swift VDI BSIV,11,Kolkata,2012,52241,2,Diesel,2,Manual,1,First,25.2,1248,74,5,2.9
Maruti Baleno Zeta 1.3,4,Coimbatore,2018,25433,2,Diesel,2,Manual,1,First,27.39,1248,74,5,7.83
Tata Safari Storme 2012-2015 LX,7,Kochi,2015,40611,2,Diesel,2,Manual,1,First,14,2179,138.1,7,8.15
Hyundai Accent GLS,9,Bangalore,2008,72000,3,Petrol,2,Manual,2,Second,13.2,1495,94,5,2
Maruti Swift LDI SP Limited Edition,5,Hyderabad,2016,54631,2,Diesel,2,Manual,1,First,25.2,1248,74,5,6.25
Maruti Swift VDI BSIV,9,Bangalore,2007,60000,2,Diesel,2,Manual,2,Second,17.8,1248,null,5,3.4
Tata Nano XTA,4,Coimbatore,2016,24941,3,Petrol,1,Automatic,1,First,21.9,624,37.48,4,3.19
Maruti Ertiga VDI,10,Ahmedabad,2017,63939,2,Diesel,2,Manual,1,First,25.47,1248,88.5,7,7.75
Maruti Celerio VXI AMT,8,Delhi,2014,35214,3,Petrol,1,Automatic,2,Second,23.1,998,67.04,5,3.2
Maruti Swift VDI BSIV,8,Delhi,2015,63000,2,Diesel,2,Manual,1,First,25.2,1248,74,5,4.9
Volkswagen Vento Petrol Highline,7,Kochi,2012,121377,3,Petrol,2,Manual,1,First,15.04,1598,103.6,5,3.8
Volkswagen Jetta 2007-2011 1.9 Highline TDI,3,Chennai,2009,100970,2,Diesel,1,Automatic,1,First,15.5,1896,105,5,4
Mini Cooper 5 DOOR D,5,Hyderabad,2014,60000,2,Diesel,1,Automatic,2,Second,20.7,1496,113.98,5,23.5
Tata Indica V2 DLS,3,Chennai,2008,77650,2,Diesel,2,Manual,1,First,17.2,1396,53.5,5,1.15
Hyundai Santro Xing XO,5,Hyderabad,2007,71297,3,Petrol,2,Manual,1,First,17,1086,null,5,2.2
Land Rover Range Rover 3.0 D,1,Mumbai,2008,55001,2,Diesel,1,Automatic,2,Second,0,,,,26.5
Honda City i-VTEC CVT VX,9,Bangalore,2015,18955,3,Petrol,1,Automatic,1,First,18,1497,117.3,5,10.65
Jaguar XF 2.2 Litre Luxury,4,Coimbatore,2016,47877,2,Diesel,1,Automatic,1,First,16.36,2179,187.7,5,35.68
Mercedes-Benz E-Class 2015-2017 E250 Edition E,7,Kochi,2017,43368,2,Diesel,1,Automatic,1,First,15,2143,204,5,31.94
Chevrolet uze LTZ,3,Chennai,2011,73000,2,Diesel,2,Manual,3,Third,18.3,1991,147.9,5,4.2
Mahindra XUV500 W8 2WD,10,Ahmedabad,2015,72007,2,Diesel,2,Manual,1,First,15.1,2179,140,7,9.9
Mercedes-Benz New C-Class C 200 CGI Avantgarde,7,Kochi,2014,56778,3,Petrol,1,Automatic,1,First,11.74,1796,186,5,15.46
Honda Jazz VX,7,Kochi,2018,20024,3,Petrol,2,Manual,1,First,18.2,1199,88.7,5,8.46
Toyota Etios G,11,Kolkata,2013,42103,3,Petrol,2,Manual,1,First,16.78,1496,88.73,5,3.25
Maruti Alto LXi BSIII,5,Hyderabad,2012,67147,3,Petrol,2,Manual,1,First,19.7,796,46.3,5,2.6
Maruti Swift VXI BSIV,4,Coimbatore,2016,37806,3,Petrol,2,Manual,1,First,20.4,1197,81.8,5,5.2
Maruti A-Star Vxi,2,Pune,2009,85000,3,Petrol,2,Manual,3,Third,19,998,66.1,5,1.8
Tata Nano Lx BSIV,3,Chennai,2011,35000,3,Petrol,2,Manual,1,First,25.4,624,37.48,4,1.6
Ford Figo Titanium Diesel,11,Kolkata,2015,72035,2,Diesel,2,Manual,1,First,25.5,1498,99,5,2.5
Fiat Linea Emotion,6,Jaipur,2011,48500,3,Petrol,2,Manual,1,First,16,1368,90,5,2.5
Ford Figo Aspire 1.2 Ti-VCT Trend,4,Coimbatore,2017,28854,3,Petrol,2,Manual,1,First,18.16,1196,86.8,5,6.7
Maruti Baleno LXI,5,Hyderabad,2005,92450,3,Petrol,2,Manual,1,First,15.4,1590,94,5,1.2
BMW 3 Series 320d Luxury Line,4,Coimbatore,2016,14351,2,Diesel,1,Automatic,1,First,18.88,1995,184,5,35.55
Chevrolet uze LTZ,6,Jaipur,2017,51087,2,Diesel,2,Manual,1,First,17.9,1998,163.7,5,7.75
Mahindra Scorpio 2.6 DX,3,Chennai,2005,50000,2,Diesel,2,Manual,1,First,12.7,2609,116.6,8,1.94
Tata Indica V2 eLS,5,Hyderabad,2016,73000,2,Diesel,2,Manual,1,First,25,1396,69,5,2.2
Chevrolet uze LTZ AT,10,Ahmedabad,2011,60000,2,Diesel,1,Automatic,1,First,18.1,1991,147.9,4,3.8
Toyota Innova 2.5 V Diesel 8-seater,3,Chennai,2016,50000,2,Diesel,2,Manual,1,First,12.8,2494,102,8,15.65
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,4,Coimbatore,2018,36797,2,Diesel,1,Automatic,1,First,19.27,2143,167.62,5,39.47
Maruti Ritz VXi,11,Kolkata,2011,50000,3,Petrol,2,Manual,2,Second,18.5,1197,85.8,5,1.5
Toyota Innova 2.5 GX (Diesel) 8 Seater BS IV,10,Ahmedabad,2013,94000,2,Diesel,2,Manual,1,First,12.8,2494,102,8,8.85
Toyota Fortuner 4x4 MT,9,Bangalore,2013,74000,2,Diesel,2,Manual,2,Second,12.55,2982,168.5,7,17.9
Hyundai i10 Sportz AT,4,Coimbatore,2014,41016,3,Petrol,1,Automatic,2,Second,16.95,1197,78.9,5,5.08
Hyundai Verna 1.6 SX,9,Bangalore,2012,67000,2,Diesel,2,Manual,1,First,22.32,1582,126.32,5,6.25
Audi Q3 2012-2015 35 TDI Quattro Premium Plus,9,Bangalore,2015,76927,2,Diesel,1,Automatic,1,First,15.73,1968,174.33,5,22.75
Chevrolet Beat LS,11,Kolkata,2010,17088,3,Petrol,2,Manual,1,First,18.6,1199,79.4,5,1.46
Ford Fiesta 1.4 Duratorq ZXI,2,Pune,2007,112808,2,Diesel,2,Manual,2,Second,17.8,1399,68,5,2.05
Ford Figo Diesel EXI,4,Coimbatore,2014,74980,2,Diesel,2,Manual,1,First,20,1399,68,5,4.08
Maruti Celerio VXI AT,5,Hyderabad,2014,44600,3,Petrol,1,Automatic,1,First,23.1,998,67.04,5,4.55
Mercedes-Benz A Class A180 CDI,1,Mumbai,2013,37000,2,Diesel,1,Automatic,1,First,20,2143,107.3,5,14
Hyundai eta 1.6 SX,10,Ahmedabad,2016,21000,3,Petrol,2,Manual,1,First,15.8,1591,121.3,5,10.9
Maruti Wagon R VXI BS IV,9,Bangalore,2010,81245,3,Petrol,2,Manual,1,First,18.9,998,67.1,5,2.45
Mercedes-Benz E-Class 2009-2013 E 220 CDI Avantgarde,8,Delhi,2013,70000,2,Diesel,1,Automatic,1,First,10,2148,170,5,15.8
Ford EcoSport 1.5 Ti VCT MT Titanium BE,1,Mumbai,2017,4018,3,Petrol,2,Manual,1,First,18.88,1499,110.4,5,8.25
Renault Koleos 2.0 Diesel,8,Delhi,2013,70000,2,Diesel,1,Automatic,2,Second,13.73,1995,148,5,8.5
Mahindra XUV500 W10 2WD,4,Coimbatore,2016,56532,2,Diesel,2,Manual,1,First,16,2179,140,7,15.54
Maruti Omni E 8 Str STD,5,Hyderabad,2013,26875,3,Petrol,2,Manual,1,First,16.8,796,34.2,8,2.35
Maruti Wagon R VXI,4,Coimbatore,2015,72599,3,Petrol,2,Manual,1,First,22.5,998,67.04,5,4.32
Ford Endeavour XLT TDCi 4X2,6,Jaipur,2008,205000,2,Diesel,2,Manual,2,Second,13.1,2499,141,7,3.9
Hyundai Verna 1.6 SX,5,Hyderabad,2011,98000,2,Diesel,2,Manual,2,Second,22.32,1582,126.32,5,5.2
Hyundai i20 Magna 1.2,1,Mumbai,2018,19500,3,Petrol,2,Manual,1,First,18.6,1197,81.83,5,5.85
Maruti Ertiga ZXI,9,Bangalore,2013,68000,3,Petrol,2,Manual,2,Second,16.02,1373,93.7,7,6.25
Mahindra XUV500 W9 AT,4,Coimbatore,2019,19654,2,Diesel,1,Automatic,1,First,14,2179,155,7,17.63
Maruti SX4 S oss DDiS 200 Zeta,1,Mumbai,2017,26000,2,Diesel,2,Manual,1,First,23.65,1248,88.5,5,9.75
Mercedes-Benz SLK-Class SLK 350,9,Bangalore,2015,10000,3,Petrol,1,Automatic,1,First,18.1,3498,306,2,55
Volkswagen Polo Diesel Comfortline 1.2L,5,Hyderabad,2011,75020,2,Diesel,2,Manual,1,First,22.07,1199,73.9,5,4.1
Toyota Fortuner 4x4 MT,5,Hyderabad,2011,157000,2,Diesel,2,Manual,1,First,12.55,2982,168.5,7,11.99
Mahindra XUV500 W10 2WD,7,Kochi,2017,43773,2,Diesel,2,Manual,1,First,16,2179,140,7,13.54
Mercedes-Benz GLE 250d,1,Mumbai,2016,21000,2,Diesel,1,Automatic,1,First,17.9,2143,201.15,5,56
Honda Jazz 1.2 VX i VTEC,3,Chennai,2016,23280,3,Petrol,2,Manual,1,First,18.7,1199,88.7,5,6.5
Maruti Swift Dzire VDI,2,Pune,2013,88000,2,Diesel,2,Manual,1,First,23.4,1248,74,5,4.75
Hyundai Verna 1.6 SX VTVT,5,Hyderabad,2014,67000,3,Petrol,2,Manual,1,First,17.01,1591,121.3,5,5.6
Ford Endeavour 3.2 Titanium AT 4X4,4,Coimbatore,2017,59636,2,Diesel,1,Automatic,1,First,10.91,3198,197,7,29.2
Hyundai i20 1.2 Asta Option,11,Kolkata,2018,11000,3,Petrol,2,Manual,1,First,18.6,1197,81.83,5,6.35
Honda City 1.5 V MT Sunroof,1,Mumbai,2013,60669,3,Petrol,2,Manual,1,First,16.8,1497,116.3,5,4.95
Honda Amaze VX Diesel,5,Hyderabad,2018,12000,2,Diesel,2,Manual,1,First,27.4,1498,98.6,5,8.5
Hyundai Verna 1.6 SX VTVT (O),11,Kolkata,2013,35000,3,Petrol,2,Manual,1,First,17.1,1591,121.3,5,4.5
Honda Mobilio S i DTEC,3,Chennai,2015,65000,2,Diesel,2,Manual,1,First,24.2,1498,98.6,7,5.5
Maruti Ertiga ZDI,7,Kochi,2013,39929,2,Diesel,2,Manual,1,First,20.77,1248,88.8,7,6.56
Maruti Alto K10 LXI,2,Pune,2014,49000,3,Petrol,2,Manual,1,First,24.07,998,67.1,5,2.3
Toyota Qualis FS B2,2,Pune,2004,77757,2,Diesel,2,Manual,2,Second,13.1,2446,75,10,3.5
Hyundai i10 Sportz,7,Kochi,2016,21456,3,Petrol,2,Manual,1,First,20.36,1197,78.9,5,4.55
Skoda Laura 1.9 TDI AT Ambiente,9,Bangalore,2009,74000,2,Diesel,1,Automatic,2,Second,17,1896,105,5,7.75
Hyundai i20 Asta Option 1.2,1,Mumbai,2015,37000,3,Petrol,2,Manual,2,Second,18.6,1197,81.83,5,5.25
BMW 5 Series 2003-2012 530d Highline,4,Coimbatore,2013,108640,2,Diesel,1,Automatic,1,First,11.5,2993,235,5,23.29
BMW 3 Series 320d M Sport,1,Mumbai,2016,38000,2,Diesel,1,Automatic,1,First,22.69,1995,190,5,23.99
Chevrolet Aveo 1.4 LT ABS BSIV,2,Pune,2010,80000,3,Petrol,2,Manual,1,First,14.49,1399,92.7,5,1.79
Mercedes-Benz E-Class 2009-2013 E250 CDI Elegance,1,Mumbai,2011,47000,2,Diesel,1,Automatic,2,Second,14.21,2143,203,5,13.9
Audi A6 2011-2015 2.0 TDI Premium Plus,11,Kolkata,2013,31000,2,Diesel,1,Automatic,1,First,17.68,1968,174.33,5,18.95
Maruti Wagon R LXI BS IV,11,Kolkata,2014,40000,3,Petrol,2,Manual,1,First,20.51,998,67.04,5,2.49
Renault KWID RXT,6,Jaipur,2016,4152,3,Petrol,2,Manual,1,First,25.17,799,53.3,5,3.15
Volkswagen Ameo 1.5 TDI Highline,1,Mumbai,2017,51000,2,Diesel,2,Manual,1,First,21.66,1498,108.62,5,6.45
Volkswagen Polo Diesel Comfortline 1.2L,10,Ahmedabad,2013,55000,2,Diesel,2,Manual,1,First,22.07,1199,73.9,5,4.25
Maruti Alto 800 LXI,5,Hyderabad,2014,58500,3,Petrol,2,Manual,1,First,22.74,796,47.3,5,2.75
Hyundai i20 Asta Option 1.2,7,Kochi,2017,58620,3,Petrol,2,Manual,1,First,18.6,1197,81.83,5,7.14
Toyota Etios Liva G,1,Mumbai,2012,29605,3,Petrol,2,Manual,1,First,18.3,1197,null,5,2.44
Hyundai i20 1.2 Sportz,6,Jaipur,2012,71172,3,Petrol,2,Manual,3,Third,17,1197,80,5,3.5
Hyundai i20 1.4 Asta,3,Chennai,2017,12000,2,Diesel,2,Manual,1,First,22.54,1396,88.73,5,7.3
Maruti Wagon R LXI Optional,11,Kolkata,2014,25000,3,Petrol,2,Manual,1,First,20.51,998,67.04,5,2.75
Hyundai i20 1.4 Asta Option,9,Bangalore,2017,43000,2,Diesel,2,Manual,2,Second,22.54,1396,88.73,5,8.2
Volkswagen Polo GT TSI,1,Mumbai,2015,57022,3,Petrol,1,Automatic,1,First,17.21,1197,103.6,5,6.51
Ford Figo Diesel Titanium,2,Pune,2015,92000,2,Diesel,2,Manual,1,First,20,1399,68.05,5,4.25
Maruti Swift ZXI,4,Coimbatore,2014,33372,3,Petrol,2,Manual,2,Second,18.6,1197,85.8,5,6.21
Hyundai Grand i10 Di Magna,7,Kochi,2016,52625,2,Diesel,2,Manual,1,First,24,1120,70,5,4.58
Mahindra Xylo H4,3,Chennai,2016,215000,2,Diesel,2,Manual,1,First,14.02,2179,118.3,7,7.5
Maruti Alto Green LXi (CNG),8,Delhi,2012,65537,1,CNG,2,Manual,1,First,26.83,796,38.4,5,2.1
Hyundai i10 Magna 1.1,4,Coimbatore,2014,60138,3,Petrol,2,Manual,1,First,19.81,1086,68.05,5,4.09
Skoda Octavia Elegance 2.0 TDI AT,1,Mumbai,2014,84000,2,Diesel,1,Automatic,1,First,19.3,1968,141,5,10.75
BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,1,Mumbai,2014,47000,2,Diesel,1,Automatic,1,First,15.97,2993,258,7,41.5
Maruti Celerio VXI AT,5,Hyderabad,2014,33450,3,Petrol,1,Automatic,1,First,23.1,998,67.04,5,4.4
Volkswagen Vento Diesel Comfortline,6,Jaipur,2013,125000,2,Diesel,2,Manual,2,Second,20.54,1598,103.6,5,6.25
BMW 3 Series 320d Highline,2,Pune,2011,99606,2,Diesel,1,Automatic,2,Second,16.07,1995,181,5,10.5
Maruti Ertiga ZDI,1,Mumbai,2014,64000,2,Diesel,2,Manual,1,First,20.77,1248,88.8,7,7.25
Ford Figo Diesel ZXI,5,Hyderabad,2013,51000,2,Diesel,2,Manual,1,First,20,1399,68.05,5,3.2
Volkswagen Polo 1.2 MPI Highline,1,Mumbai,2014,57000,3,Petrol,2,Manual,1,First,16.47,1198,74,5,3.95
Audi A6 3.0 TDI quattro,4,Coimbatore,2009,48040,2,Diesel,1,Automatic,2,Second,16.77,2967,241.38,5,12.07
Toyota Innova ysta 2.4 ZX MT,2,Pune,2017,43200,2,Diesel,2,Manual,1,First,13.68,2393,147.8,7,18.6
Hyundai Verna 1.6 Di EX AT,8,Delhi,2013,66000,2,Diesel,1,Automatic,1,First,22.32,1582,126.3,5,5.7
Hyundai Santro Xing GL Plus,11,Kolkata,2013,31000,3,Petrol,2,Manual,1,First,17.92,1086,62.1,5,1.75
Audi A4 2.0 TDI,8,Delhi,2011,46000,2,Diesel,1,Automatic,2,Second,16.55,1968,147.51,5,10.99
Audi A4 2.0 TDI,11,Kolkata,2012,47346,2,Diesel,1,Automatic,1,First,16.55,1968,147.51,5,14.5
Skoda Laura 1.9 TDI MT Ambiente,6,Jaipur,2009,100000,2,Diesel,2,Manual,1,First,17,1896,105,5,3.11
Honda -V 2.0L 2WD AT,4,Coimbatore,2015,63856,3,Petrol,1,Automatic,1,First,13.7,1997,153.86,5,13.96
Hyundai Verna 1.6 SX Di (O),4,Coimbatore,2015,72996,2,Diesel,2,Manual,1,First,22.32,1582,126.32,5,7.11
Honda Mobilio RS i DTEC,3,Chennai,2014,23000,2,Diesel,2,Manual,1,First,24.5,1498,98.6,7,6.9
Hyundai i20 1.2 Asta Option,4,Coimbatore,2018,15985,3,Petrol,2,Manual,1,First,18.6,1197,81.83,5,7.77
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,11,Kolkata,2011,98000,2,Diesel,2,Manual,2,Second,12.8,2494,102,8,5.5
Hyundai i20 Magna 1.2,5,Hyderabad,2014,70089,3,Petrol,2,Manual,1,First,18.6,1197,81.83,5,5.35
Mahindra Bolero VLX BS IV,3,Chennai,2011,99000,2,Diesel,2,Manual,2,Second,13.6,2523,63,7,4.5
Volkswagen Vento 1.5 TDI Comfortline,6,Jaipur,2014,72000,2,Diesel,2,Manual,1,First,20.34,1498,103.2,5,4.75
Jaguar XF 2.2 Litre Luxury,4,Coimbatore,2015,44194,2,Diesel,1,Automatic,1,First,16.36,2179,187.7,5,32.8
Maruti Zen LXi - BS III,1,Mumbai,2005,102000,3,Petrol,2,Manual,1,First,17.3,993,60,5,0.7
Mercedes-Benz E-Class Facelift,4,Coimbatore,2018,56652,2,Diesel,1,Automatic,1,First,13,2987,258,5,50.29
Toyota Fortuner 3.0 Diesel,1,Mumbai,2010,41650,2,Diesel,2,Manual,2,Second,11.5,2982,171,7,10.99
Hyundai Grand i10 AT Asta,4,Coimbatore,2015,61717,3,Petrol,1,Automatic,1,First,18.9,1197,82,5,5.57
Hyundai Xcent 1.2 Di S,6,Jaipur,2018,25302,2,Diesel,2,Manual,1,First,25.4,1186,73.97,5,5.9
Hyundai eta 1.6 VTVT S,4,Coimbatore,2016,47016,3,Petrol,2,Manual,1,First,15.29,1591,121.3,5,9.43
Hyundai i10 Sportz,9,Bangalore,2010,69000,3,Petrol,2,Manual,1,First,20.36,1197,78.9,5,2.9
Honda Brio S MT,8,Delhi,2016,32700,3,Petrol,2,Manual,1,First,19.4,1198,86.8,5,3.68
Toyota Fortuner 4x2 AT,4,Coimbatore,2015,101337,2,Diesel,1,Automatic,1,First,12.55,2982,168.5,7,21.67
Audi A4 2.0 TDI Multitronic,10,Ahmedabad,2011,59000,2,Diesel,1,Automatic,1,First,16.55,1968,140,5,12.5
Toyota Innova ysta 2.8 ZX AT,7,Kochi,2018,41736,2,Diesel,1,Automatic,1,First,11.36,2755,171.5,7,19.92
Honda City i DTEC VX,6,Jaipur,2014,71649,2,Diesel,2,Manual,1,First,25.1,1498,98.6,5,6.75
Honda City i DTEC VX,7,Kochi,2015,80606,2,Diesel,2,Manual,1,First,25.1,1498,98.6,5,6.96
Renault KWID 1.0 RXT Optional,6,Jaipur,2017,63262,3,Petrol,2,Manual,1,First,21.7,999,67,5,3.25
Maruti Swift DDiS ZDI Plus,5,Hyderabad,2018,5456,2,Diesel,2,Manual,1,First,28.4,1248,74,5,8.65
Maruti Celerio VXI Optional AMT,2,Pune,2017,7500,3,Petrol,1,Automatic,1,First,23.1,998,67.04,5,5
Mahindra XUV500 W8 2WD,8,Delhi,2011,66000,2,Diesel,2,Manual,1,First,15.1,2179,140,7,5.5
Hyundai i10 Magna,6,Jaipur,2010,66770,3,Petrol,2,Manual,2,Second,20.36,1197,78.9,5,2.6
Hyundai i10 Magna 1.1,7,Kochi,2014,58472,3,Petrol,2,Manual,1,First,19.81,1086,68.05,5,3.41
Maruti Dzire VXI,11,Kolkata,2011,46687,3,Petrol,2,Manual,1,First,22,1197,81.8,5,2.7
Maruti Grand Vitara AT,3,Chennai,2008,77000,3,Petrol,1,Automatic,4,Fourth & Above,9.7,1995,163.5,5,5.5
Audi TT 40 TFSI,11,Kolkata,2012,7000,3,Petrol,1,Automatic,1,First,14.33,1984,226.6,4,35
Mercedes-Benz New C-Class C 200 CGI,1,Mumbai,2011,48000,3,Petrol,1,Automatic,2,Second,14.74,1991,184,5,9.75
Nissan Sunny 2011-2014 Diesel XV,1,Mumbai,2013,47000,2,Diesel,2,Manual,1,First,21.64,1461,84.8,5,4.25
